vs_name,vs_id,ftm_name,ftm_id
technology manufacturing association,1712,Amt - The Association For Manufacturing Technology,24786146
technology manufacturing association,1712,Amt- The Association For Manufacturing Technology Machine Toolpac,29116031
technology manufacturing association,1712,Amt-The Association For Manufacturing Technology,40616018
technology manufacturing association,1712,Amt-The Association For Manufacturing Technology Machine Toolpac,18930197
technology manufacturing association,1712,Association For Manufacturing Technology,2964295
technology manufacturing association,1712,Association For Manufacturing Technology Machine Toolpac,41874149
technology manufacturing association,1712,Nj Technology & Manufacturing Association,39506173
technology manufacturing association,1712,Rochester Technology & Manufacturing Association,24674714
technology manufacturing association,1712,Technology & Manufacturing Association,24839013
citizen action illinois,1021,Citizen Action Illinois Progressive Action Project,12425721
citizen action illinois,1021,Citizens Action Illinois,11075
citizen action illinois,1021,Citizens Action Illinois Chapter,3490477
citizen action illinois,1021,Citizens Action- Illinois,44675530
citizen action illinois,1021,Citizens Action/Illinois Progressive Action Project,2958436
united republican fund of illinois,1718,United Republican Fund Of Illinois,16738
united republican fund of illinois,1718,United Republican Fund Of Illinois,3310680
illinois state rifle association,9,Illinois State Rifle Association,2630932
chicago teachers union,2987,Chicago Teachers Union 1,43552221
chicago teachers union,2987,Chicago Teachers Union Non,48814453
chicago teachers union,2987,Chicago Teachers Union Pac Illinois Federation Of Teachers,53785468
chicago teachers union,2987,City Colleges Of Chicago Teachers Union,48814958
chicago teachers union,2987,East Chicago Teachers Credit Union,7615379
illinois citizens against handgun violence,314,TimeoutException,TimeoutException
illinois parent teacher association,2655,TimeoutException,TimeoutException
illinois naral,496,Naral Pro-Choice Illinois,3605427
illinois sierra club,552,Sierra Club Illinois Chapter,2599160
chicago federation of labor,2986,Chicago Federation Of Labor,27551869
service employees international union seiu healthcare illinois,2980,TimeoutException,TimeoutException
illinois environmental council,34,Illinois Environmental Council,27538868
personal pac,2990,Fnd Personal Services Pac,9635497
personal pac,2990,Govt Personal Mutual Life Insurance/Gpm Pac,11041470
personal pac,2990,Jordan Pace$0.00- 05 / 15 / 2018 Personal Loan Forgiven,52785415
personal pac,2990,Michigan Pharmacy Pac - Personal,37187411
personal pac,2990,Miss Dental Pac Personal/Hard State/Federal,8159177
personal pac,2990,Mpa Federal Pac-Personal,53818591
personal pac,2990,Personal Care Council Pac,24782292
personal pac,2990,Personal Care Prodcuts Council Pac,24782293
personal pac,2990,Personal Communication Ind Assoc Pac,26788320
personal pac,2990,Personal Communications Industry Association (Pcia) Pac,26788835
illinois civil justice league,1277,Illinois Civil Justice League,13067
illinois family action ifa pac,2227,TimeoutException,TimeoutException
illinois federation of teachers,567,Illinois Federation Of Teachers,19219
the illinois opportunity project,2169,TimeoutException,TimeoutException
united working families,2953,United Working Families,29480249
illinois league of conservation voters,1827,Illinois League Of Conservation Voters,2867947
the peoples lobby,2934,The Peoples Lobby Group,33024512
the peoples lobby,2934,The Peoples Lobby Group Llc,24764693
citizens action coalition of indiana,729,Citizens Action Coalition Of Indiana,48091144
automotive parts and service association of illinois,186,TimeoutException,TimeoutException
indiana chamber of commerce,457,Indiana Chamber Of Commerce,17293
hoosier environmental council,493,Hoosier Environmental Council,27644374
indiana manufacturers association,1786,Indiana Manufacturers Housing Associations Recreation Cehicle Indiana Council Inc Politican Action Cmte,7191777
national federation of independent business indiana,662,National Federation Of Independent Business Indiana,44581850
planned parenthood advocates of indiana,357,TimeoutException,TimeoutException
national federation of independent business iowa,363,National Federation Of Independent Business Iowa,46531605
iowa women for progressive change,2700,Iowa Women For Progressive Change,44482396
planned parenthood voters of iowa,2303,Planned Parenthood Voters Of Iowa,37950514
american conservative union indiana,2162,TimeoutException,TimeoutException
mainstream coalition,2324,Mainstream Coalition,28136941
mainstream coalition,2324,Mainstream Coalition,8784799
mainstream coalition,2324,Mainstream Coalition,8787597
asian latino coalition,2702,Asian Latino Coalition,48138203
kansas national education association,677,Kansas National Education Association,20230
kansas afl cio,1969,Afl-Cio Kansas City District,4344123
kansas afl cio,1969,Greater Kansas City Afl-Cio,3933829
kansas afl cio,1969,Greater Kansas City Afl-Cio,47721198
kansas afl cio,1969,Greater Kansas City Afl-Cio Cope Registration Fund,46053216
kansas afl cio,1969,Greater Kansas City Metro Area Local 67 Apwu Afl-Cio,44488232
kansas afl cio,1969,Kansas Afl-Cio,20144
kansas afl cio,1969,Kansas State Council Afl-Cio,48016099
sierra club kansas chapter,284,Sierra Club Kansas Chapter,8778138
kansas advancing women,2755,Kansas Advancing Women,26764885
kansas advancing women,2755,Kansas Advancing Women,28209038
kansas families for education,2326,Kansas Families For Education,8782346
kansas livestock association,3060,Kansas Livestock Association,7364
national federation of independent business kansas,1290,National Federation Of Independent Business Kansas,47949329
planned parenthood great plains votes,2463,Planned Parenthood Great Plains Votes,42513541
